t_s,sclk_mhz,sclk_max_mhz,busy_pct,power_w,power_cap_w,temp_c,reasons
305.68,1950,2100,100,192.06,200.00,62,
306.24,1950,2100,100,190.14,200.00,63,
306.79,1935,2100,100,189.20,200.00,63,
307.35,1935,2100,100,189.35,200.00,63,
307.90,1935,2100,100,189.02,200.00,62,
308.45,1950,2100,100,189.87,200.00,63,
309.01,1935,2100,100,188.68,200.00,63,
309.56,1935,2100,100,189.18,200.00,63,
310.10,1935,2100,100,189.16,200.00,62,
310.65,1950,2100,100,192.05,200.00,62,
311.19,1950,2100,100,190.22,200.00,63,
311.74,1935,2100,100,188.60,200.00,63,
312.30,1935,2100,100,188.88,200.00,63,
312.87,1935,2100,100,189.02,200.00,62,
313.42,1950,2100,100,190.41,200.00,63,
313.99,1935,2100,100,188.69,200.00,63,
314.55,1935,2100,100,188.97,200.00,63,
315.10,1935,2100,100,188.52,200.00,62,
315.65,1950,2100,100,191.69,200.00,62,
316.21,1950,2100,100,190.79,200.00,63,
316.76,1935,2100,100,189.20,200.00,63,
317.32,1935,2100,100,189.15,200.00,63,
317.87,1935,2100,100,188.24,200.00,62,
318.43,1950,2100,100,190.26,200.00,63,
318.98,1935,2100,100,189.24,200.00,63,
319.54,1935,2100,100,189.18,200.00,63,
320.09,1935,2100,100,188.24,200.00,62,
320.65,1950,2100,100,191.24,200.00,62,
321.20,1935,2100,100,190.53,200.00,63,
321.76,1935,2100,100,189.27,200.00,63,
322.31,1935,2100,100,189.27,200.00,63,
322.87,1935,2100,100,188.88,200.00,62,
323.42,1935,2100,100,190.86,200.00,63,
323.98,1935,2100,100,189.32,200.00,63,
324.51,1935,2100,100,189.21,200.00,63,
325.05,1935,2100,100,189.00,200.00,62,
325.60,1950,2100,100,191.85,200.00,62,
326.15,1935,2100,100,191.13,200.00,62,
326.71,1935,2100,100,189.29,200.00,63,
327.28,1935,2100,100,189.06,200.00,63,
327.83,1935,2100,100,188.44,200.00,63,
328.39,1935,2100,100,191.28,200.00,62,
328.98,1935,2100,100,189.40,200.00,63,
329.51,1935,2100,100,189.01,200.00,63,
